NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,6.384161200010567,None,7.266093900005217,None,2,0.5223999000008916,7.266093900005217,None,,,,,,,,,,,001,2021_Nov_17_1653,TMTAB,2021.2.3,144.4153848519285,
1,2,TMT-A_1_practice.png,TMT-A_1_practice.png,TMT-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,7.801232199999504,None,10.864427000007709,None,3,0,2.464211999991676,10.864427000007709,None,,001,2021_Nov_17_1653,TMTAB,2021.2.3,144.4153848519285,
2,3,TMT-A_1_practice.png,TMT-A_1_practicefirstgreen.png,TMT-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,13.40549390000524,None,1,0,1.2554906000004848,13.40549390000524,None,,001,2021_Nov_17_1653,TMTAB,2021.2.3,144.4153848519285,
3,1,TMT-A_1_practicelinestimulus0.png,TMT-A_1_practicegreenlinestimulus0.png,TMT-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,14.732199200007017,None,1,1,2.2744634999980917,14.732199200007017,None,,001,2021_Nov_17_1653,TMTAB,2021.2.3,144.4153848519285,
4,3,TMT-A_1_practicelinestimulus1.png,TMT-A_1_practicegreenlinestimulus1.png,TMT-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,17.079129100005957,None,1,0,1.2878236999968067,17.079129100005957,None,,001,2021_Nov_17_1653,TMTAB,2021.2.3,144.4153848519285,
5,1,TMT-A_1_practicelinestimulus2.png,TMT-A_1_practicegreenlinestimulus2.png,TMT-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,18.4474532000022,None,2,0,0.9295616000017617,18.4474532000022,None,,001,2021_Nov_17_1653,TMTAB,2021.2.3,144.4153848519285,
6,2,TMT-A_1_practicelinestimulus3.png,TMT-A_1_practicegreenlinestimulus3.png,TMT-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,19.453791000007186,None,3,0,0.31183529998816084,19.453791000007186,None,,001,2021_Nov_17_1653,TMTAB,2021.2.3,144.4153848519285,
7,3,TMT-A_1_practicelinestimulus4.png,TMT-A_1_practicegreenlinestimulus4.png,TMT-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,19.843132300011348,None,1,0,0.35058240000216756,19.843132300011348,None,,001,2021_Nov_17_1653,TMTAB,2021.2.3,144.4153848519285,
8,2,TMT-A_1_practicelinestimulus5.png,TMT-A_1_practicegreenlinestimulus5.png,TMT-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,20.266787500004284,None,2,1,0.30729719999362715,20.266787500004284,None,,001,2021_Nov_17_1653,TMTAB,2021.2.3,144.4153848519285,
9,3,TMT-A_1_practicelinestimulus6.png,TMT-A_1_practicegreenlinestimulus6.png,TMT-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,20.648735100010526,None,3,1,0.23960729999816976,20.648735100010526,None,,001,2021_Nov_17_1653,TMTAB,2021.2.3,144.4153848519285,
10,2,TMT-A_1_practicelinestimulus7.png,TMT-A_1_practicegreenlinestimulus7.png,TMT-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,20.961319599999115,None,1,0,0.35370149998925626,20.961319599999115,None,,001,2021_Nov_17_1653,TMTAB,2021.2.3,144.4153848519285,
11,3,TMT-A_1_practicelinestimulus8.png,TMT-A_1_practicegreenlinestimulus8.png,TMT-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,21.3914722000045,None,3,1,1.0381478000053903,21.3914722000045,None,,001,2021_Nov_17_1653,TMTAB,2021.2.3,144.4153848519285,
12,1,TMT-A_1_practicelinestimulus9.png,TMT-A_1_practicegreenlinestimulus9.png,TMT-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,22.50241349999851,None,1,1,1.011868500005221,22.50241349999851,None,,001,2021_Nov_17_1653,TMTAB,2021.2.3,144.4153848519285,
None,None,TMT-A_1_practicelinestimulus10.png,TMT-A_1_practicegreenlinestimulus10.png,TMT-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,,,,,23.592985600000247,None,None,1,,23.592985600000247,None,,001,2021_Nov_17_1653,TMTAB,2021.2.3,144.4153848519285,
