NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,5.841450100000657,None,5.841450100000657,None,6.5199980000033975,None,9.570393000001786,None,1,0.4832964000015636,9.570393000001786,None,,001,2021_Nov_15_1457,TMTAB,2021.2.3,143.62945897585055,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,10.132951600004162,None,2,0.15996630000154255,10.132951600004162,None,,001,2021_Nov_15_1457,TMTAB,2021.2.3,143.62945897585055,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,10.362444100006542,None,3,0.08093039999948815,10.362444100006542,None,,001,2021_Nov_15_1457,TMTAB,2021.2.3,143.62945897585055,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,10.515285600005882,None,1,0.12629800000286195,10.515285600005882,None,,001,2021_Nov_15_1457,TMTAB,2021.2.3,143.62945897585055,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,10.723610500004725,None,2,0.03229060000012396,10.723610500004725,None,,001,2021_Nov_15_1457,TMTAB,2021.2.3,143.62945897585055,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,10.834686100002727,None,3,0.013373499998124316,10.834686100002727,None,,001,2021_Nov_15_1457,TMTAB,2021.2.3,143.62945897585055,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,10.91842710000492,None,1,0.08156819999567233,10.91842710000492,None,,001,2021_Nov_15_1457,TMTAB,2021.2.3,143.62945897585055,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,11.070792900005472,None,3,0.12470010000106413,11.070792900005472,None,,001,2021_Nov_15_1457,TMTAB,2021.2.3,143.62945897585055,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,11.29948030000378,None,2,0.12435839999670861,11.29948030000378,None,,001,2021_Nov_15_1457,TMTAB,2021.2.3,143.62945897585055,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,11.494411000006949,None,3,0.06180869999661809,11.494411000006949,None,,001,2021_Nov_15_1457,TMTAB,2021.2.3,143.62945897585055,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,11.633418600002187,None,1,0.8605803999962518,11.633418600002187,None,,001,2021_Nov_15_1457,TMTAB,2021.2.3,143.62945897585055,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,12.570790800004033,None,2,0.3627386000007391,12.570790800004033,None,,001,2021_Nov_15_1457,TMTAB,2021.2.3,143.62945897585055,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,13.008299000000989,None,None,,13.008299000000989,None,,001,2021_Nov_15_1457,TMTAB,2021.2.3,143.62945897585055,
