NumberLetter,corrAns,StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,TMTAD1.bmp,0,0,0,0,9.188273400010075,None,9.188273400010075,None,13.82764530001441,None,1,1,6.950527100008912,13.82764530001441,None,rsyh,001,2021_Oct_19_1829,TMTAB,2021.2.3,59.94416800247372,
2,3,TMTAD1.bmp,0,1,1,1,,,,,20.797596499993233,None,3,1,5.058574700000463,20.797596499993233,None,rsyh,001,2021_Oct_19_1829,TMTAB,2021.2.3,59.94416800247372,
3,2,TMTAD11.bmp,0,2,2,2,,,,,26.500208599987673,None,2,1,0.3298961000109557,26.500208599987673,None,rsyh,001,2021_Oct_19_1829,TMTAB,2021.2.3,59.94416800247372,
4,1,TMTAD12.bmp,0,3,3,3,,,,,27.28388050000649,None,1,1,3.9988930000108667,27.28388050000649,None,rsyh,001,2021_Oct_19_1829,TMTAB,2021.2.3,59.94416800247372,
5,2,TMTAD13.bmp,0,4,4,4,,,,,31.65255550001166,None,3,0,0.5834380000014789,31.65255550001166,None,rsyh,001,2021_Oct_19_1829,TMTAB,2021.2.3,59.94416800247372,
6,3,TMTAD14.bmp,0,5,5,5,,,,,32.6031811000139,None,2,0,0.3833546999958344,32.6031811000139,None,rsyh,001,2021_Oct_19_1829,TMTAB,2021.2.3,59.94416800247372,
7,2,TMTAD15.bmp,0,6,6,6,,,,,33.5536437999981,None,1,0,0.38176560000283644,33.5536437999981,None,rsyh,001,2021_Oct_19_1829,TMTAB,2021.2.3,59.94416800247372,
8,1,TMTAD16.bmp,0,7,7,7,,,,,34.28715019999072,None,2,0,0.46363760001258925,34.28715019999072,None,rsyh,001,2021_Oct_19_1829,TMTAB,2021.2.3,59.94416800247372,
9,3,TMTAD17.bmp,0,8,8,8,,,,,35.08747619998758,None,3,1,0.3422883999883197,35.08747619998758,None,rsyh,001,2021_Oct_19_1829,TMTAB,2021.2.3,59.94416800247372,
10,2,TMTAD18.bmp,0,9,9,9,,,,,35.871101600001566,None,2,1,0.17159290000563487,35.871101600001566,None,rsyh,001,2021_Oct_19_1829,TMTAB,2021.2.3,59.94416800247372,
11,3,TMTAD19.bmp,0,10,10,10,,,,,36.42147259999183,None,3,1,-0.028163100010715425,36.42147259999183,None,rsyh,001,2021_Oct_19_1829,TMTAB,2021.2.3,59.94416800247372,
12,1,TMTAD110.bmp,0,11,11,11,,,,,36.80483800001093,None,1,1,-0.3196642000111751,36.80483800001093,None,rsyh,001,2021_Oct_19_1829,TMTAB,2021.2.3,59.94416800247372,
13,2,TMTAD111.bmp,0,12,12,12,,,,,37.321861300006276,None,1,0,-0.4239903999841772,37.321861300006276,None,rsyh,001,2021_Oct_19_1829,TMTAB,2021.2.3,59.94416800247372,
14,3,TMTAD112.bmp,0,13,13,13,,,,,37.7389247000101,None,2,0,-0.4125575000070967,37.7389247000101,None,rsyh,001,2021_Oct_19_1829,TMTAB,2021.2.3,59.94416800247372,
15,1,TMTAD113.bmp,0,14,14,14,,,,,38.2056375000102,None,3,0,-0.461378700012574,38.2056375000102,None,rsyh,001,2021_Oct_19_1829,TMTAB,2021.2.3,59.94416800247372,
