NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,5.867876000003889,None,5.867876000003889,None,6.351449500012677,None,9.40201600000728,None,1,0.3981243999878643,9.40201600000728,None,,,,,,,,001,2021_Nov_15_1815,TMTAB,2021.2.3,143.5849132512176,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,9.888659500007634,None,2,0.026215900012175553,9.888659500007634,None,,,,,,,,001,2021_Nov_15_1815,TMTAB,2021.2.3,143.5849132512176,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,9.992660200005048,None,3,0.06439300000783987,9.992660200005048,None,,,,,,,,001,2021_Nov_15_1815,TMTAB,2021.2.3,143.5849132512176,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,10.13841759999923,None,1,0.042340699990745634,10.13841759999923,None,,,,,,,,001,2021_Nov_15_1815,TMTAB,2021.2.3,143.5849132512176,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,10.257036599999992,None,2,0.016559600000618957,10.257036599999992,None,,,,,,,,001,2021_Nov_15_1815,TMTAB,2021.2.3,143.5849132512176,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,10.360614300007,None,3,0.0023394000018015504,10.360614300007,None,,,,,,,,001,2021_Nov_15_1815,TMTAB,2021.2.3,143.5849132512176,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,10.451085600012448,None,1,0.04058340001211036,10.451085600012448,None,,,,,,,,001,2021_Nov_15_1815,TMTAB,2021.2.3,143.5849132512176,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,10.568972700013546,None,3,0.11903670000901911,10.568972700013546,None,,,,,,,,001,2021_Nov_15_1815,TMTAB,2021.2.3,143.5849132512176,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,10.791146400006255,None,2,0.10364240000490099,10.791146400006255,None,,,,,,,,001,2021_Nov_15_1815,TMTAB,2021.2.3,143.5849132512176,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,10.999815600007423,None,3,0.02100919999065809,10.999815600007423,None,,,,,,,,001,2021_Nov_15_1815,TMTAB,2021.2.3,143.5849132512176,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,11.097063100009109,None,1,0.055164600009447895,11.097063100009109,None,,,,,,,,001,2021_Nov_15_1815,TMTAB,2021.2.3,143.5849132512176,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,11.222320000000764,None,2,0.06672840000828728,11.222320000000764,None,,,,,,,,001,2021_Nov_15_1815,TMTAB,2021.2.3,143.5849132512176,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,11.3678479000082,None,3,0.009184700000332668,11.3678479000082,None,,,,,,,,001,2021_Nov_15_1815,TMTAB,2021.2.3,143.5849132512176,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,12.46278090000851,None,space,0.7830126000044402,12.46278090000851,None,,001,2021_Nov_15_1815,TMTAB,2021.2.3,143.5849132512176,
