NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2,TMT-B.jpg,TMT-B.jpg,TMT-B.jpg,0,0,0,0,,,,,14.026807599992026,None,14.026807599992026,None,56.49936409998918,None,1,0,8.49678010000207,56.49936409998918,None,,001,2021_Oct_22_1146,TMTAB,2021.2.3,None,
A,3,TMT-B.jpg,TMT-B.jpg,TMT-B.jpg,0,1,1,1,,,,,,,,,65.08721889999288,None,3,1,3.735505499993451,65.08721889999288,None,,001,2021_Oct_22_1146,TMTAB,2021.2.3,None,
2,2,TMT-B_linestimulus0.png,TMT-B_greenlinestimulus0.png,TMT-B_redlinestimulus0.png,0,2,2,2,,,,,,,,,68.95427119999658,None,2,1,2.0973127000033855,68.95427119999658,None,,001,2021_Oct_22_1146,TMTAB,2021.2.3,None,
B,3,TMT-B_linestimulus1.png,TMT-B_greenlinestimulus1.png,TMT-B_redlinestimulus1.png,0,3,3,3,,,,,,,,,71.17297329999565,None,3,1,1.3001356000022497,71.17297329999565,None,,001,2021_Oct_22_1146,TMTAB,2021.2.3,None,
3,1,TMT-B_linestimulus2.png,TMT-B_greenlinestimulus2.png,TMT-B_redlinestimulus2.png,0,4,4,4,,,,,,,,,72.6118443000014,None,2,0,0.4786044999927981,72.6118443000014,None,,001,2021_Oct_22_1146,TMTAB,2021.2.3,None,
C,2,TMT-B_linestimulus3.png,TMT-B_greenlinestimulus3.png,TMT-B_redlinestimulus3.png,0,5,5,5,,,,,,,,,73.22419049999735,None,1,0,0.39363190000585746,73.22419049999735,None,,001,2021_Oct_22_1146,TMTAB,2021.2.3,None,
4,1,TMT-B_linestimulus4.png,TMT-B_greenlinestimulus4.png,TMT-B_redlinestimulus4.png,0,6,6,6,,,,,,,,,73.7468746999948,None,2,0,0.4114279999921564,73.7468746999948,None,,001,2021_Oct_22_1146,TMTAB,2021.2.3,None,
D,2,TMT-B_linestimulus5.png,TMT-B_greenlinestimulus5.png,TMT-B_redlinestimulus5.png,0,7,7,7,,,,,,,,,74.30708929999673,None,3,0,0.27136800000153016,74.30708929999673,None,,001,2021_Oct_22_1146,TMTAB,2021.2.3,None,
5,3,TMT-B_linestimulus6.png,TMT-B_greenlinestimulus6.png,TMT-B_redlinestimulus6.png,0,8,8,8,,,,,,,,,74.70710539999709,None,2,0,0.27614899999753106,74.70710539999709,None,,001,2021_Oct_22_1146,TMTAB,2021.2.3,None,
E,1,TMT-B_linestimulus7.png,TMT-B_greenlinestimulus7.png,TMT-B_redlinestimulus7.png,0,9,9,9,,,,,,,,,75.10848840000108,None,2,0,0.25277700000151526,75.10848840000108,None,,001,2021_Oct_22_1146,TMTAB,2021.2.3,None,
6,2,TMT-B_linestimulus8.png,TMT-B_greenlinestimulus8.png,TMT-B_redlinestimulus8.png,0,10,10,10,,,,,,,,,75.49223489999713,None,2,1,0.15284360000805464,75.49223489999713,None,,001,2021_Oct_22_1146,TMTAB,2021.2.3,None,
F,3,TMT-B_linestimulus9.png,TMT-B_greenlinestimulus9.png,TMT-B_redlinestimulus9.png,0,11,11,11,,,,,,,,,75.77611329998763,None,1,0,0.4058443999965675,75.77611329998763,None,,001,2021_Oct_22_1146,TMTAB,2021.2.3,None,
